filename,person_id,box_conf,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
000003.jpg,1,0.9040,0.9747,0.7999,0.9711,0.3167,0.9386,0.9825,0.9982,0.9009,0.9946,0.8803,0.9871,0.9974,0.9991,0.9956,0.9986,0.9854,0.9930
000003.jpg,2,0.8794,0.5104,0.0906,0.7343,0.1141,0.9286,0.7385,0.9847,0.2187,0.9608,0.1945,0.8598,0.9753,0.9946,0.9850,0.9968,0.9785,0.9916
000003.jpg,3,0.8664,0.9754,0.9700,0.9217,0.8801,0.5257,0.9873,0.9433,0.9416,0.6851,0.8778,0.6121,0.9536,0.9048,0.6366,0.4659,0.1862,0.1276
000003.jpg,4,0.8325,0.8303,0.8744,0.3233,0.9088,0.1091,0.9961,0.8795,0.9927,0.5532,0.9782,0.5776,0.9956,0.9760,0.9877,0.9388,0.9338,0.8328
